
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 04:28:07 2024

Set parameter LogFile to value "gurobi_log/de_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0x8cf11bc0
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [2e+02, 2e+02]
  QObjective range [1e+01, 2e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 1428.0000000
Found heuristic solution: objective 424.0000000
Found heuristic solution: objective 383.0000000
Found heuristic solution: objective 359.0000000
Presolve time: 0.02s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)

Root relaxation: objective -2.253425e+03, 195 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 2240529 1843339 -1105.1128   70  103  306.00000 -1886.7037   717%  34.4  275s
 2286017 1882965 -1054.9448  115   92  306.00000 -1886.7037   717%  34.5  280s
 2326013 1912383 -1537.6743   87  124  306.00000 -1886.7037   717%  34.6  285s
 2369843 1948140 -1886.7037   85  172  306.00000 -1886.7037   717%  34.6  290s
 2414164 1985662 -1886.7037   86  167  306.00000 -1886.7037   717%  34.7  295s
 2454689 2019239 -1654.9979   80  156  306.00000 -1886.7037   717%  34.6  300s
 2494577 2051226 -1886.7037   62  191  306.00000 -1886.7037   717%  34.6  305s
 2539860 2087576 -1886.7037   72  201  306.00000 -1886.7037   717%  34.5  310s
 2568996 2109747 -1534.4801   89  131  306.00000 -1886.7037   717%  34.5  318s
 2582773 2123310 -1377.3876   75  124  306.00000 -1886.7037   717%  34.5  320s
 2630805 2163448 -1218.9724   89  123  306.00000 -1886.7037   717%  34.4  325s
 2676041 2199448 -895.31888  120   90  306.00000 -1886.7037   717%  34.4  330s
 2720265 2235926 -1613.4604   63  156  306.00000 -1886.7037   717%  34.5  335s
 2763710 2272072 -1546.5249   92  133  306.00000 -1886.7037   717%  34.6  340s
 2806258 2305288 -1886.7037   74  163  306.00000 -1886.7037   717%  34.6  345s
 2846590 2340153 -1745.2680   70  175  306.00000 -1886.7037   717%  34.7  350s
 2890135 2374048 -1886.7037   78  169  306.00000 -1886.7037   717%  34.6  355s
 2929472 2406609 -1623.5126   70  165  306.00000 -1886.7037   717%  34.7  360s
