
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 20:32:21 2024

Set parameter LogFile to value "gurobi_log/de_penalty/gurobi_log/random17.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 289 columns and 0 nonzeros
Model fingerprint: 0xc45c5b5e
Model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [3e+02, 3e+02]
  QObjective range [6e+00, 3e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2754.0000000
Found heuristic solution: objective 601.0000000
Found heuristic solution: objective 521.0000000
Presolve time: 0.07s
Presolved: 0 rows, 289 columns, 0 nonzeros
Presolved model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)

Root relaxation: objective -3.214791e+03, 290 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 920011 845358 -2915.3232   76  295  403.00000 -2915.3232   823%  55.5  310s
 963882 858041 -2915.3232   82  222  403.00000 -2915.3232   823%  55.4  315s
 980055 873626 -1047.5468  206   65  403.00000 -2915.3232   823%  55.3  320s
 999091 891495 -2915.3232  171  123  403.00000 -2915.3232   823%  55.5  325s
 1017280 906827 -2915.3232   96  221  403.00000 -2915.3232   823%  55.5  331s
 1036950 923599 -2915.3232   70  290  403.00000 -2915.3232   823%  55.6  335s
 1045314 933021 -1337.6248  195   75  403.00000 -2915.3232   823%  56.0  340s
 1065736 950208 -2915.3232  168  187  403.00000 -2915.3232   823%  56.2  345s
 1079610 964162 -2915.3232   74  251  403.00000 -2915.3232   823%  56.6  350s
 1093548 976254 -2915.3232   88  267  403.00000 -2915.3232   823%  56.4  355s
 1118215 998217 -2915.3232  122  253  403.00000 -2915.3232   823%  56.1  360s
 1134262 1016019 -2915.3232   72  296  403.00000 -2915.3232   823%  56.2  365s
 1156153 1033198 -2915.3232   78  243  403.00000 -2915.3232   823%  56.1  370s
 1175528 1050894 -2915.3232   87  259  403.00000 -2915.3232   823%  55.9  375s
 1188664 1062630 -2915.3232  116  216  403.00000 -2915.3232   823%  56.2  380s
 1204528 1078677 -2915.3232   90  231  403.00000 -2915.3232   823%  56.5  385s
 1228393 1098493 -2915.3232   83  229  403.00000 -2915.3232   823%  56.3  390s
 1251692 1119857 -2915.3232  129  233  403.00000 -2915.3232   823%  56.0  395s
 1274673 1139725 -2915.3232   68  267  403.00000 -2915.3232   823%  55.7  400s
 1293901 1157810 -2915.3232  148  156  403.00000 -2915.3232   823%  55.5  405s
 1316761 1177091 -2915.3232   86  256  403.00000 -2915.3232   823%  55.3  410s
 1335896 1194745 -2915.3232   84  247  403.00000 -2915.3232   823%  55.1  415s
