
Gurobi 11.0.0 (linux64) logging started Fri Aug 23 13:12:53 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random18.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 324 columns and 0 nonzeros
Model fingerprint: 0xaeabdc52
Model has 11340 quadratic objective terms
Variable types: 0 continuous, 324 integer (324 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3816.0000000
Found heuristic solution: objective 997.0000000
Found heuristic solution: objective 502.0000000
Found heuristic solution: objective 466.0000000
Presolve time: 0.08s
Presolved: 0 rows, 324 columns, 0 nonzeros
Presolved model has 11340 quadratic objective terms
Variable types: 0 continuous, 324 integer (324 binary)

Root relaxation: objective -4.699711e+03, 327 iterations, 0.05 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 2583973 2350036 -3136.0796   42  269  378.00000 -3164.8899   937%   5.0  280s
 2627804 2390283 -2510.9958   97  216  378.00000 -3162.8846   937%   5.0  285s
 2672266 2430117 -2824.1311   76  231  378.00000 -3161.2195   936%   5.0  290s
 2712189 2468130 -971.12917  182  121  378.00000 -3159.7584   936%   5.0  295s
 2744021 2493976  223.44294  244   76  378.00000 -3157.8242   935%   5.0  302s
 2762013 2512923 -1073.9759   87  154  378.00000 -3157.0602   935%   5.0  305s
 2804261 2550491 -208.04649  212   98  378.00000 -3154.1408   934%   5.0  310s
 2849838 2591745 -2727.7577   79  233  378.00000 -3152.3899   934%   5.0  315s
 2881677 2619793 -2480.5962   70  208  378.00000 -3150.3496   933%   5.1  320s
 2912604 2643939 -1404.3021  185  118  378.00000 -3149.1158   933%   5.0  327s
 2927222 2660003 -690.71172   89  159  378.00000 -3148.3703   933%   5.0  330s
 2970070 2699418 -2556.9116   65  216  378.00000 -3146.3154   932%   5.0  335s
 3016306 2740271 -2817.1706   56  250  378.00000 -3144.3038   932%   5.0  340s
 3063569 2782992 -1453.9740   68  200  378.00000 -3142.6337   931%   5.0  345s
 3109950 2825164 -1114.4477  176  122  378.00000 -3140.3913   931%   5.0  350s
 3152868 2862011 -1015.2727  187  122  378.00000 -3138.7434   930%   5.1  355s
 3197151 2904384 -3124.5740   44  249  378.00000 -3137.1373   930%   5.0  360s
 3236937 2941089 -2717.0180   59  249  378.00000 -3136.0613   930%   5.0  365s
 3278852 2979109 -2594.8974   76  218  378.00000 -3134.0418   929%   5.1  370s
