
Gurobi 11.0.0 (linux64) logging started Fri Aug 23 01:41:57 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random16.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 256 columns and 0 nonzeros
Model fingerprint: 0x728dffb8
Model has 7936 quadratic objective terms
Variable types: 0 continuous, 256 integer (256 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3296.0000000
Found heuristic solution: objective 721.0000000
Found heuristic solution: objective 532.0000000
Found heuristic solution: objective 434.0000000
Found heuristic solution: objective 414.0000000
Presolve time: 0.09s
Presolved: 0 rows, 256 columns, 0 nonzeros
Presolved model has 7936 quadratic objective terms
Variable types: 0 continuous, 256 integer (256 binary)

Root relaxation: objective -3.374220e+03, 255 iterations, 0.03 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 487848 431937 -2965.5573   65  285  304.00000 -2965.5573  1076%  54.8  320s
 499484 439726 -2965.5573   60  274  304.00000 -2965.5573  1076%  55.2  327s
 506038 449053 -2965.5573  114  211  304.00000 -2965.5573  1076%  55.2  331s
 518260 459068 -2965.5573  130  149  304.00000 -2965.5573  1076%  55.0  336s
 530785 470070 -2965.5573   76  238  304.00000 -2965.5573  1076%  54.6  341s
 544224 478749 -2965.5573   77  238  304.00000 -2965.5573  1076%  54.2  345s
 551319 486319 -2965.5573   54  278  304.00000 -2965.5573  1076%  54.3  350s
 562650 495714 -2965.5573   64  294  304.00000 -2965.5573  1076%  54.1  355s
 572857 505015 -2965.5573   89  211  304.00000 -2965.5573  1076%  54.0  360s
 584373 515620 -2965.5573   51  281  304.00000 -2965.5573  1076%  53.8  366s
 594876 523160 -2965.5573   68  283  304.00000 -2965.5573  1076%  53.8  371s
 602441 530256 -2965.5573   65  276  304.00000 -2965.5573  1076%  53.7  375s
 613847 539104 -2965.5573   59  251  304.00000 -2965.5573  1076%  53.5  380s
 626057 549259 -2965.5573   58  259  304.00000 -2965.5573  1076%  53.6  385s
 637292 557220 -2965.5573   56  262  304.00000 -2965.5573  1076%  53.4  390s
 645218 566995 -2965.5573  133  141  304.00000 -2965.5573  1076%  53.9  395s
 660378 579569 -2965.5573   75  255  304.00000 -2965.5573  1076%  53.6  400s
 668508 586836 -2965.5573   81  219  304.00000 -2965.5573  1076%  53.8  405s
 679836 597464 -2965.5573   62  232  304.00000 -2965.5573  1076%  54.0  411s
 690289 606133 -2965.5573   82  261  304.00000 -2965.5573  1076%  53.8  415s
 700585 615433 -2965.5573   64  267  304.00000 -2965.5573  1076%  53.7  420s
 709186 623283 -2965.5573  143  169  304.00000 -2965.5573  1076%  53.9  426s
 718259 632358 -2965.5573   74  267  304.00000 -2965.5573  1076%  54.1  430s
 733602 646525 -2965.5573   73  251  304.00000 -2965.5573  1076%  53.8  435s
 748859 659307 -2965.5573   88  263  304.00000 -2965.5573  1076%  53.5  441s
 757797 667250 -2173.7504  206   65  304.00000 -2965.5573  1076%  53.8  446s
 772010 677857 -2965.5573   93  170  304.00000 -2965.5573  1076%  53.6  450s
 784528 687978 -2965.5573   59  219  304.00000 -2965.5573  1076%  53.4  455s
 794278 697951 -2965.5573   69  249  304.00000 -2965.5573  1076%  53.3  460s
 806580 708042 -2965.5573   96  179  304.00000 -2965.5573  1076%  53.2  465s
 820447 720450 -2965.5573   84  220  304.00000 -2965.5573  1076%  52.9  471s
