
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 23:40:18 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random15.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 225 columns and 0 nonzeros
Model fingerprint: 0xc509cc8e
Model has 6525 quadratic objective terms
Variable types: 0 continuous, 225 integer (225 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2940.0000000
Found heuristic solution: objective 712.0000000
Found heuristic solution: objective 498.0000000
Found heuristic solution: objective 445.0000000
Found heuristic solution: objective 444.0000000
Found heuristic solution: objective 409.0000000
Presolve time: 0.05s
Presolved: 0 rows, 225 columns, 0 nonzeros
Presolved model has 6525 quadratic objective terms
Variable types: 0 continuous, 225 integer (225 binary)
Found heuristic solution: objective 386.0000000

Root relaxation: objective -4.331011e+03, 234 iterations, 0.01 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 791412 670079 -3933.8094   77  153  320.00000 -3933.8094  1329%  39.9  285s
 810590 685713 -3933.8094  104  153  320.00000 -3933.8094  1329%  39.8  290s
 829552 701695 -2293.2186  127  109  320.00000 -3933.8094  1329%  39.7  295s
 848144 718744 -3933.8094   64  199  320.00000 -3933.8094  1329%  39.7  300s
 865230 733515 -3761.0163  136  128  320.00000 -3933.8094  1329%  39.5  305s
 884320 751360 -3933.8094   89  186  320.00000 -3933.8094  1329%  39.3  310s
 909541 771309 -3933.8094   57  164  320.00000 -3933.8094  1329%  39.1  315s
 927304 785603 -3933.8094   87  197  320.00000 -3933.8094  1329%  38.9  320s
 940749 798764 -1633.5505  165   68  320.00000 -3933.8094  1329%  39.2  325s
 963120 814383 -3933.8094   85  140  320.00000 -3933.8094  1329%  39.0  330s
 986432 835436 -3933.8094   88  213  320.00000 -3933.8094  1329%  38.8  335s
 1001835 849459 -3904.3816   99  143  320.00000 -3933.8094  1329%  38.9  340s
 1023125 867397 -2305.4422  120  102  320.00000 -3933.8094  1329%  38.7  345s
 1038765 882174 -3933.8094   86  176  320.00000 -3933.8094  1329%  38.7  350s
 1057506 897558 -3933.8094   90  186  320.00000 -3933.8094  1329%  38.7  355s
 1080032 913011 -3078.0031  104  134  320.00000 -3933.8094  1329%  38.6  361s
 1093266 926730 -3933.8094   79  208  320.00000 -3933.8094  1329%  38.6  365s
 1115123 944905 -3544.3970  120  131  320.00000 -3933.8094  1329%  38.5  370s
 1132593 958707 -3933.8094   88  185  320.00000 -3933.8094  1329%  38.4  375s
 1155743 978535 -3933.8094   90  185  320.00000 -3933.8094  1329%  38.3  380s
 1171882 993406 -3933.8094   97  183  320.00000 -3933.8094  1329%  38.4  385s
 1195991 1012133 -3933.8094  113  156  320.00000 -3933.8094  1329%  38.3  390s
 1220634 1033887 -3778.0086   81  157  320.00000 -3933.8094  1329%  38.1  395s
 1247044 1055477 -3933.8094   83  193  320.00000 -3933.8094  1329%  38.0  400s
 1272114 1077047 -3933.8094   87  194  320.00000 -3933.8094  1329%  37.8  405s
 1296547 1096157 -3214.2182   88  122  320.00000 -3933.8094  1329%  37.9  410s
 1320122 1116611 -3933.8094   77  156  320.00000 -3933.8094  1329%  37.8  415s
