
Gurobi 11.0.0 (linux64) logging started Fri Aug 23 03:42:54 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random17.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 289 columns and 0 nonzeros
Model fingerprint: 0xa212863b
Model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3672.0000000
Found heuristic solution: objective 840.0000000
Found heuristic solution: objective 545.0000000
Presolve time: 0.14s
Presolved: 0 rows, 289 columns, 0 nonzeros
Presolved model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)

Root relaxation: objective -3.172816e+03, 290 iterations, 0.05 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 739578 655857 -2919.7918   57  321  402.00000 -2919.7918   826%  45.8  285s
 765029 678829 -2919.7918   73  239  402.00000 -2919.7918   826%  45.6  290s
 785971 697492 -2919.7918   76  277  402.00000 -2919.7918   826%  45.4  295s
 799656 709648 -2919.7918   67  306  402.00000 -2919.7918   826%  45.4  300s
 821235 728629 -2919.7918   73  285  402.00000 -2919.7918   826%  45.1  305s
 839789 744810 -2919.7918   72  300  402.00000 -2919.7918   826%  45.0  311s
 855369 758548 -2919.7918   59  306  402.00000 -2919.7918   826%  44.8  315s
 871682 773415 -2919.7918   57  296  402.00000 -2919.7918   826%  44.6  320s
 888009 788042 -2919.7918   62  260  402.00000 -2919.7918   826%  44.4  325s
 902134 801271 -2919.7918   64  277  402.00000 -2919.7918   826%  44.4  330s
 919795 816918 -2919.7918  111  143  402.00000 -2919.7918   826%  44.3  336s
 932840 828570 -2919.7918  108  210  402.00000 -2919.7918   826%  44.3  340s
 947206 840148 -2919.7918   76  266  402.00000 -2919.7918   826%  44.3  345s
 970536 860370 -2919.7918   67  299  402.00000 -2919.7918   826%  44.0  350s
 988377 877845 -2814.8193  194   84  402.00000 -2919.7918   826%  43.8  355s
 1003713 889155 -2919.7918  142  204  402.00000 -2919.7918   826%  43.9  360s
 1015102 901817 -2919.7918   95  281  402.00000 -2919.7918   826%  44.1  365s
 1032424 918124 -2919.7918   76  302  402.00000 -2919.7918   826%  44.2  370s
 1053546 935226 -2919.7918   82  318  402.00000 -2919.7918   826%  44.0  376s
 1068279 948196 -2919.7918  105  263  402.00000 -2919.7918   826%  44.0  381s
 1086320 964236 -2919.7918  129  229  402.00000 -2919.7918   826%  43.9  386s
 1100027 977256 -2919.7918  184  118  402.00000 -2919.7918   826%  43.8  390s
 1116068 991236 -2919.7918   75  266  402.00000 -2919.7918   826%  43.7  395s
 1128273 1000572 -2919.7918  123  198  402.00000 -2919.7918   826%  43.8  400s
 1139819 1013054 -2919.7918  104  214  402.00000 -2919.7918   826%  44.1  405s
 1156257 1026946 -2919.7918   53  297  402.00000 -2919.7918   826%  44.1  410s
 1174629 1043474 -2919.7918   91  303  402.00000 -2919.7918   826%  44.0  415s
 1198482 1065403 -2919.7918   78  277  402.00000 -2919.7918   826%  43.9  420s
 1216909 1080981 -2919.7918   72  145  402.00000 -2919.7918   826%  43.8  425s
 1228506 1091626 -2919.7918   65  315  402.00000 -2919.7918   826%  43.7  430s
