
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 21:38:05 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0x16e538e7
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2996.0000000
Found heuristic solution: objective 516.0000000
Found heuristic solution: objective 398.0000000
Found heuristic solution: objective 395.0000000
Presolve time: 0.34s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Found heuristic solution: objective 351.0000000

Root relaxation: objective -2.078594e+03, 197 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 1473375 1191522 -1555.8883   98  136  306.00000 -1555.8883   608%  32.9  295s
 1504581 1215414 -1555.8883  102  134  306.00000 -1555.8883   608%  32.8  300s
 1535837 1241077 -1555.8883  112  134  306.00000 -1555.8883   608%  32.8  305s
 1565717 1265264 -1555.8883   93  137  306.00000 -1555.8883   608%  32.9  310s
 1593175 1284568 -1555.8883   88  110  306.00000 -1555.8883   608%  32.8  315s
 1619098 1304778 -1555.8883   90  132  306.00000 -1555.8883   608%  32.8  320s
 1640315 1321498 -1555.8883  115   80  306.00000 -1555.8883   608%  32.8  325s
 1665714 1341757 -1555.8883  108   79  306.00000 -1555.8883   608%  32.7  330s
 1686259 1356868 -1555.8883  100  146  306.00000 -1555.8883   608%  32.6  335s
 1708262 1374755 -1555.8883   94  126  306.00000 -1555.8883   608%  32.7  340s
 1730105 1392568 -1435.8529  150   56  306.00000 -1555.8883   608%  32.6  345s
 1749420 1407821 -1555.8883  117   69  306.00000 -1555.8883   608%  32.6  351s
 1764175 1418191 -1555.8883   98   97  306.00000 -1555.8883   608%  32.5  355s
 1781042 1432152 -1555.8883   94  137  306.00000 -1555.8883   608%  32.5  360s
 1802195 1448796 -1167.7960  137   51  306.00000 -1555.8883   608%  32.5  366s
 1813640 1458981  175.30846  153   21  306.00000 -1555.8883   608%  32.5  370s
 1831079 1472161 -1555.8883   92  134  306.00000 -1555.8883   608%  32.5  375s
 1849060 1487561 -1555.8883   98   98  306.00000 -1555.8883   608%  32.4  380s
 1865057 1499883 -322.59206  169   26  306.00000 -1555.8883   608%  32.4  385s
 1883795 1514904 -1555.8883  102  143  306.00000 -1555.8883   608%  32.4  390s
 1904082 1530482 -1555.8883   97  133  306.00000 -1555.8883   608%  32.4  395s
 1922228 1545084 -1468.0864  124   64  306.00000 -1555.8883   608%  32.3  400s
 1943053 1561071 -1555.8883  107   99  306.00000 -1555.8883   608%  32.3  405s
 1960756 1574842 -1555.8883   70  143  306.00000 -1555.8883   608%  32.3  410s
 1983106 1592780 -1555.8883  103  149  306.00000 -1555.8883   608%  32.3  415s
 2004840 1608216 -1555.8883   93  148  306.00000 -1555.8883   608%  32.2  420s
 2029720 1628122 -1409.0504  101   70  306.00000 -1555.8883   608%  32.2  425s
 2048327 1642505 -1555.8883  123  124  306.00000 -1555.8883   608%  32.1  430s
 2074865 1662635 -1555.8883   96  114  306.00000 -1555.8883   608%  32.1  435s
 2100486 1682728 -1555.8883   90  142  306.00000 -1555.8883   608%  32.0  440s
 2133100 1707847 -1555.8883  107  128  306.00000 -1555.8883   608%  32.0  445s
 2170016 1736052 -1555.8883   73  115  306.00000 -1555.8883   608%  31.9  450s
 2200728 1760501 -1555.8883  120  128  306.00000 -1555.8883   608%  31.9  455s
 2236653 1789198 -1555.8883  116  135  306.00000 -1555.8883   608%  31.8  460s
 2274697 1819176 -1555.8883  117  120  306.00000 -1555.8883   608%  31.8  465s
