
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 21:33:53 2024

Set parameter LogFile to value "gurobi_log/seg_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0xc040ad5e
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [3e+02, 3e+02]
  QObjective range [1e+01, 3e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2324.0000000
Found heuristic solution: objective 513.0000000
Found heuristic solution: objective 413.0000000
Found heuristic solution: objective 401.0000000
Presolve time: 0.03s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)

Root relaxation: objective -2.129000e+03, 195 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 1545044 1276548 -239.57388  141   32  307.00000 -1738.7397   666%  32.3  285s
 1572220 1297575     cutoff  154       307.00000 -1738.7397   666%  32.2  290s
 1600033 1321717 -1738.7397   81  155  307.00000 -1738.7397   666%  32.1  295s
 1625338 1342188 -1738.7397   77  154  307.00000 -1738.7397   666%  32.1  300s
 1653282 1362859 -1738.7397  120  137  307.00000 -1738.7397   666%  32.0  305s
 1679034 1384276 -1738.7397  116   94  307.00000 -1738.7397   666%  32.0  310s
 1706433 1406759 -1738.7397   89  151  307.00000 -1738.7397   666%  31.9  315s
 1727394 1422917 -1738.7397  109  131  307.00000 -1738.7397   666%  32.0  320s
 1754352 1445956 -1738.7397   98  130  307.00000 -1738.7397   666%  32.0  325s
 1784157 1469920 -1738.7397  106  127  307.00000 -1738.7397   666%  31.9  330s
 1813352 1493460 -1738.7397  101  100  307.00000 -1738.7397   666%  31.8  335s
 1839842 1513027 -1738.7397  107  144  307.00000 -1738.7397   666%  31.7  340s
 1873083 1541265 -1738.7397   94  164  307.00000 -1738.7397   666%  31.7  345s
 1906451 1568033 -1738.7397   84  134  307.00000 -1738.7397   666%  31.6  350s
 1934842 1591736 -1738.7397  122   80  307.00000 -1738.7397   666%  31.6  355s
 1962368 1613568 -1738.7397   79  128  307.00000 -1738.7397   666%  31.6  360s
 1988408 1631611 -1738.7397  115  112  307.00000 -1738.7397   666%  31.5  369s
 1988886 1634508 -1682.6358  115   82  307.00000 -1738.7397   666%  31.5  370s
 2013278 1654927 -1738.7397  114  118  307.00000 -1738.7397   666%  31.5  375s
 2043003 1678565 -1738.7397  124   95  307.00000 -1738.7397   666%  31.5  380s
 2069186 1699595 -1738.7397   88  150  307.00000 -1738.7397   666%  31.4  385s
 2098411 1722765 -1738.7397  101  129  307.00000 -1738.7397   666%  31.3  390s
 2125656 1744799 -1738.7397   88  146  307.00000 -1738.7397   666%  31.3  395s
 2152926 1765397 -1738.7397   77  134  307.00000 -1738.7397   666%  31.3  400s
 2180485 1788247 -1738.7397  124   94  307.00000 -1738.7397   666%  31.3  405s
 2217368 1815718 -1738.7397  114  105  307.00000 -1738.7397   666%  31.2  410s
 2245215 1838301 -1738.7397  102  108  307.00000 -1738.7397   666%  31.2  415s
 2271804 1860072 -1738.7397   93  105  307.00000 -1738.7397   666%  31.2  420s
 2295435 1879218 -1738.7397   97  138  307.00000 -1738.7397   666%  31.2  425s
 2322957 1900946 -1738.7397  106  144  307.00000 -1738.7397   666%  31.2  430s
 2349994 1923104  194.60151  149   16  307.00000 -1738.7397   666%  31.3  435s
 2373369 1942217 -1738.7397  121   90  307.00000 -1738.7397   666%  31.3  440s
 2405954 1969240 -1738.7397   87  128  307.00000 -1738.7397   666%  31.3  445s
 2430441 1988530 -1738.7397   92  103  307.00000 -1738.7397   666%  31.2  450s
 2458352 2010903 -1738.7397  100  112  307.00000 -1738.7397   666%  31.2  455s
 2485543 2032202 -1738.7397  107  114  307.00000 -1738.7397   666%  31.2  460s
 2514112 2055349 -1738.7397  102  101  307.00000 -1738.7397   666%  31.1  465s
 2538725 2076243 -788.97918  152   58  307.00000 -1738.7397   666%  31.0  470s
 2571673 2101112 -1738.7397  105  114  307.00000 -1738.7397   666%  31.0  475s
 2596716 2121720 -1738.7397  110   99  307.00000 -1738.7397   666%  31.0  480s
 2630328 2147929 -942.32230  142   67  307.00000 -1738.7397   666%  30.9  485s
 2657124 2170554 -965.97328  145   62  307.00000 -1738.7397   666%  30.9  490s
 2685334 2192313 -1359.3140  142   74  307.00000 -1738.7397   666%  30.9  495s
 2712950 2214714 -1237.2746  137   66  307.00000 -1738.7397   666%  30.9  500s
 2743442 2237804 -1227.9377  115   82  307.00000 -1738.7397   666%  30.8  505s
 2768097 2258577 -1738.7397   88  119  307.00000 -1738.7397   666%  30.9  510s
 2793309 2280057 -1738.7397   88  148  307.00000 -1738.7397   666%  30.9  515s
 2821071 2302160 -1738.7397  100  134  307.00000 -1738.7397   666%  30.9  520s
 2849530 2324889 -1481.0659  101   81  307.00000 -1738.7397   666%  30.9  525s
 2867373 2337249 -1738.7397  110  134  307.00000 -1738.7397   666%  30.9  530s
 2896827 2360752     cutoff  146       307.00000 -1738.7397   666%  30.9  535s
 2922224 2382542 -1738.7397   89  128  307.00000 -1738.7397   666%  30.9  540s
 2951861 2405065 -460.38952   99   57  307.00000 -1738.7397   666%  30.9  545s
 2979031 2425312 -1738.7397   96  142  307.00000 -1738.7397   666%  30.9  550s
 3004499 2446707 -587.72272  144   50  307.00000 -1738.7397   666%  30.8  555s
 3033897 2469879 -1738.7397  108   98  307.00000 -1738.7397   666%  30.8  560s
 3058036 2489818 -1738.7397   99  122  307.00000 -1738.7397   666%  30.8  565s
 3092285 2516753 -1738.7397  108  105  307.00000 -1738.7397   666%  30.7  570s
 3126381 2544286 -1738.7397  101  124  307.00000 -1738.7397   666%  30.7  575s
 3154954 2566400 -1738.7397   87  145  307.00000 -1738.7397   666%  30.7  580s
 3183497 2590935 -1738.7397   89  130  307.00000 -1738.7397   666%  30.7  585s
