
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 19:32:23 2024

Set parameter LogFile to value "gurobi_log/seg_penalty/gurobi_log/random13.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 169 columns and 0 nonzeros
Model fingerprint: 0x63932d53
Model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2912.0000000
Found heuristic solution: objective 836.0000000
Found heuristic solution: objective 638.0000000
Found heuristic solution: objective 441.0000000
Found heuristic solution: objective 417.0000000
Presolve time: 0.60s
Presolved: 0 rows, 169 columns, 0 nonzeros
Presolved model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)

Root relaxation: objective -2.325694e+03, 168 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 2547986 1981134 -2038.3091   88   74  375.00000 -2038.3091   644%  25.0  285s
 2589797 2012761     cutoff   68       375.00000 -2038.3091   644%  25.0  290s
 2631840 2043005 -2038.3091   93   89  375.00000 -2038.3091   644%  25.0  295s
 2675989 2076958     cutoff  123       375.00000 -2038.3091   644%  24.9  300s
 2720803 2108946 -2038.3091   86   91  375.00000 -2038.3091   644%  24.9  305s
 2770617 2148280 -2038.3091   73   98  375.00000 -2038.3091   644%  24.8  310s
 2808009 2174889 -1424.4413   93   61  375.00000 -2038.3091   644%  24.7  315s
 2854494 2210702 -2038.3091   70  109  375.00000 -2038.3091   644%  24.7  320s
 2904325 2247230 -2038.3091   79   94  375.00000 -2038.3091   644%  24.7  325s
 2953708 2285993 -1445.1749  101   63  375.00000 -2038.3091   644%  24.6  330s
 2998789 2318813 -2038.3091   66  118  375.00000 -2038.3091   644%  24.6  335s
 3058717 2362524 -1579.3492   76   77  375.00000 -2038.3091   644%  24.5  340s
 3108305 2398686 -2038.3091   63  136  375.00000 -2038.3091   644%  24.4  345s
 3163028 2439669 -2038.3091   82   87  375.00000 -2038.3091   644%  24.3  350s
 3213517 2477258  -87.66188   92   39  375.00000 -2038.3091   644%  24.3  355s
 3262963 2513409 -1402.3445   95   54  375.00000 -2038.3091   644%  24.3  360s
 3311170 2548678 -1539.2316  108   51  375.00000 -2038.3091   644%  24.2  365s
 3362063 2587418 -2038.3091   60  101  375.00000 -2038.3091   644%  24.2  370s
 3414075 2623269 -2038.3091   86  102  375.00000 -2038.3091   644%  24.1  375s
 3464094 2660446 -2038.3091   69  114  375.00000 -2038.3091   644%  24.1  380s
 3519139 2701100 -1219.1249   99   53  375.00000 -2038.3091   644%  24.1  385s
 3577217 2743600 -408.27591  111   47  375.00000 -2038.3091   644%  24.0  390s
 3635173 2785768 -2038.3091   79   87  375.00000 -2038.3091   644%  24.0  395s
 3689238 2827018 -341.55575  105   29  375.00000 -2038.3091   644%  23.9  400s
 3741492 2865480 -2038.3091   73  110  375.00000 -2038.3091   644%  23.9  405s
 3794626 2906402 -2038.3091   95   85  375.00000 -2038.3091   644%  23.9  410s
 3844409 2944685 -2038.3091  100   72  375.00000 -2038.3091   644%  23.8  415s
 3903775 2986767 -2038.3091   84   88  375.00000 -2038.3091   644%  23.8  420s
 3933187 3006117 -340.83480  103   43  375.00000 -2038.3091   644%  23.7  425s
 3933732 3030399 -2038.3091   85  117  375.00000 -2038.3091   644%  23.7  431s
 3980045 3042848 -988.94448  101   54  375.00000 -2038.3091   644%  23.7  435s
 4035590 3084556 -2038.3091   73   83  375.00000 -2038.3091   644%  23.6  440s
 4095159 3127660 -2038.3091   64  115  375.00000 -2038.3091   644%  23.6  445s
 4148850 3166648 -1695.9043   62   92  375.00000 -2038.3091   644%  23.5  450s
 4212829 3212285 -1988.3785  110   81  375.00000 -2038.3091   644%  23.5  455s
 4276123 3259647 -2038.3091   66   97  375.00000 -2038.3091   644%  23.4  460s
 4324712 3295369   19.58921  118   21  375.00000 -2038.3091   644%  23.4  465s
 4380320 3334396 -2038.3091   96   95  375.00000 -2038.3091   644%  23.3  470s
 4437034 3377096 -1486.2366   75   67  375.00000 -2038.3091   644%  23.3  475s
 4492749 3418577 -1584.2313  102   68  375.00000 -2038.3091   644%  23.3  480s
 4551686 3460451 -2038.3091   78   56  375.00000 -2038.3091   644%  23.2  485s
 4609904 3502305 -2038.3091   62   89  375.00000 -2038.3091   644%  23.2  490s
