
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 16:31:46 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0x16e538e7
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2996.0000000
Found heuristic solution: objective 516.0000000
Found heuristic solution: objective 398.0000000
Found heuristic solution: objective 395.0000000
Presolve time: 0.03s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Found heuristic solution: objective 351.0000000

Root relaxation: objective -2.078594e+03, 197 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 3573652 2830902 -230.82652  119   33  306.00000 -1555.8883   608%  30.6  280s
 3655118 2891812     cutoff  120       306.00000 -1555.8883   608%  30.5  285s
 3737634 2955559 -496.70184  144   27  306.00000 -1555.8883   608%  30.5  290s
 3821154 3020010 -1555.8883   87  147  306.00000 -1555.8883   608%  30.4  295s
 3913232 3093300 -1555.8883  109  100  306.00000 -1555.8883   608%  30.3  300s
 3996177 3155993 -1555.8883   92  113  306.00000 -1555.8883   608%  30.2  305s
 4079091 3220008 -1555.8883  107  108  306.00000 -1555.8883   608%  30.2  310s
 4157412 3280163 -1555.8883  101  127  306.00000 -1555.8883   608%  30.1  315s
 4236009 3340188 -1555.8883  102  123  306.00000 -1555.8883   608%  30.1  320s
 4316859 3398979 -1555.8883  103  108  306.00000 -1555.8883   608%  30.0  327s
 4339431 3418673 -1555.8883  106   90  306.00000 -1555.8883   608%  30.0  330s
 4420984 3481589 -1555.8883   96  115  306.00000 -1555.8883   608%  29.9  335s
 4507099 3548045 -1555.8883   91  116  306.00000 -1555.8883   608%  29.9  340s
 4588812 3610012 -1555.8883  105   96  306.00000 -1555.8883   608%  29.8  345s
 4671469 3672765 -1499.7657  112   74  306.00000 -1555.8883   608%  29.8  350s
 4756615 3737826 -1555.8883   96  123  306.00000 -1555.8883   608%  29.7  355s
 4842215 3805050 -1555.8883   99  120  306.00000 -1555.8883   608%  29.7  360s
 4924012 3867937  274.68490  122   29  306.00000 -1555.8883   608%  29.7  365s
 5006833 3929657 -1555.8883  107   89  306.00000 -1555.8883   608%  29.6  370s
 5091408 3996642 -1555.8883  109  107  306.00000 -1555.8883   608%  29.5  375s
 5170191 4056428 -1555.8883  105  117  306.00000 -1555.8883   608%  29.5  380s
 5252636 4120931 -1555.8883  106  106  306.00000 -1555.8883   608%  29.5  385s
 5336989 4185180     cutoff  140       306.00000 -1555.8883   608%  29.4  390s
 5421641 4249659 -1555.8883  110   97  306.00000 -1555.8883   608%  29.4  395s
 5505770 4312605 -1555.8883  138   74  306.00000 -1555.8883   608%  29.3  400s
 5589010 4375087 -1082.6928  145   39  306.00000 -1555.8883   608%  29.3  405s
 5662579 4428669 -1555.8883  112  127  306.00000 -1555.8883   608%  29.3  411s
 5717012 4473104 -1555.8883   90  120  306.00000 -1555.8883   608%  29.3  415s
 5785784 4523006 -1555.8883   97  121  306.00000 -1555.8883   608%  29.2  420s
 5817919 4547642     cutoff  165       306.00000 -1555.8883   608%  29.2  426s
 5869382 4588950 -1555.8883   92  108  306.00000 -1555.8883   608%  29.2  430s
 5954570 4652999 -1555.8883  105   95  306.00000 -1555.8883   608%  29.2  435s
 6039635 4717186  208.41443  114   34  306.00000 -1555.8883   608%  29.1  440s
 6124678 4783373 -1555.8883  101  127  306.00000 -1555.8883   608%  29.1  445s
 6213190 4849359 -556.45722  132   49  306.00000 -1555.8883   608%  29.0  450s
 6300517 4914186 -1555.8883  115  119  306.00000 -1555.8883   608%  29.0  455s
 6383214 4976704 -1158.2471  151   53  306.00000 -1555.8883   608%  29.0  460s
 6467790 5039229 -1312.9702  120   52  306.00000 -1555.8883   608%  28.9  465s
 6556550 5106539   75.84019  146   30  306.00000 -1555.8883   608%  28.9  470s
 6644238 5172721 -1555.8883  116   64  306.00000 -1555.8883   608%  28.9  475s
 6721779 5228305 -395.04547  126   36  306.00000 -1555.8883   608%  28.8  482s
 6769285 5266515 -1012.6015  136   49  306.00000 -1555.8883   608%  28.8  485s
 6857098 5333098 -1555.8883   98  125  306.00000 -1555.8883   608%  28.8  490s
 6948107 5401440  145.24693  136   29  306.00000 -1555.8883   608%  28.7  495s
 7031850 5463982 -1555.8883  105  113  306.00000 -1555.8883   608%  28.7  500s
 7126523 5535669 -1555.8883   98  126  306.00000 -1555.8883   608%  28.7  505s
 7215340 5603453 -1555.8883  132   55  306.00000 -1555.8883   608%  28.6  510s
 7302828 5670702 -1555.8883   92  111  306.00000 -1555.8883   608%  28.6  515s
 7390162 5736406 -1555.8883  100  102  306.00000 -1555.8883   608%  28.6  520s
 7475505 5796776 -1555.8883  105  123  306.00000 -1555.8883   608%  28.5  525s
 7564228 5863273 -1555.8883  110  114  306.00000 -1555.8883   608%  28.5  530s
 7648781 5926990 -342.94361  164   28  306.00000 -1555.8883   608%  28.5  535s
 7734083 5990127 -1147.8902  122   75  306.00000 -1555.8883   608%  28.5  540s
 7792619 6034221 -1555.8883   94  115  306.00000 -1555.8883   608%  28.4  545s
 7884393 6103778  253.45431  161   15  306.00000 -1555.8883   608%  28.4  550s
 7975605 6174164 -1555.8883   97  110  306.00000 -1555.8883   608%  28.4  555s
 8059772 6237354 -1555.8883  134   70  306.00000 -1555.8883   608%  28.4  560s
 8149929 6304077 -1555.8883  104  119  306.00000 -1555.8883   608%  28.3  565s
 8236278 6370046 -1555.8883  117   73  306.00000 -1555.8883   608%  28.3  570s
 8323578 6435260 -1555.8883  101  114  306.00000 -1555.8883   608%  28.3  575s
 8411647 6500433 -1555.8883  111  105  306.00000 -1555.8883   608%  28.3  580s
 8501732 6567395 -1555.8883   83  118  306.00000 -1555.8883   608%  28.2  585s
 8568534 6618412 -1555.8883  112  114  306.00000 -1555.8883   608%  28.2  590s
 8635896 6672199 -1555.8883  127   86  306.00000 -1555.8883   608%  28.2  595s
 8724018 6737605 -1555.8883  113  118  306.00000 -1555.8883   608%  28.2  600s
 8812717 6803740 -1555.8883   95   90  306.00000 -1555.8883   608%  28.1  605s
 8906158 6875511 -1555.8883  118  118  306.00000 -1555.8883   608%  28.1  610s
 8997800 6943700 -1555.8883  103  116  306.00000 -1555.8883   608%  28.1  615s
 9091481 7013233 -1555.8883  127   56  306.00000 -1555.8883   608%  28.1  620s
 9185245 7083844 -1555.8883   99   95  306.00000 -1555.8883   608%  28.0  625s
 9276755 7151439 -1555.8883  116  114  306.00000 -1555.8883   608%  28.0  630s
 9368733 7220913 -1555.8883   95  123  306.00000 -1555.8883   608%  28.0  635s
 9456751 7287097   49.93821  159   33  306.00000 -1555.8883   608%  28.0  640s
 9545142 7353063 -1555.8883  118  107  306.00000 -1555.8883   608%  27.9  645s
 9635709 7421520 -1555.8883  102  110  306.00000 -1555.8883   608%  27.9  650s
 9723585 7485557 -1555.8883  100   64  306.00000 -1555.8883   608%  27.9  655s
 9817033 7555480 -876.59370  112   58  306.00000 -1555.8883   608%  27.9  660s
 9908756 7621623  151.52521  169   27  306.00000 -1555.8883   608%  27.8  665s
 9998562 7688234 -1555.8883  126  102  306.00000 -1555.8883   608%  27.8  670s
 10087197 7754137 -1555.8883  112  117  306.00000 -1555.8883   608%  27.8  675s
 10169529 7814051 -1555.8883   90   96  306.00000 -1555.8883   608%  27.8  682s
 10213541 7849421 -1555.8883  117   99  306.00000 -1555.8883   608%  27.8  685s
 10301693 7917156 -1555.8883  112   93  306.00000 -1555.8883   608%  27.7  690s
 10397190 7988704 -1555.8883   87  108  306.00000 -1555.8883   608%  27.7  695s
 10471965 8043861 -1555.8883  120   92  306.00000 -1555.8883   608%  27.7  700s
 10559789 8107877 -720.77980  133   50  306.00000 -1555.8883   608%  27.7  706s
 10612580 8149829 -1555.8883   88  127  306.00000 -1555.8883   608%  27.7  710s
 10704679 8218587 -1555.8883   99  125  306.00000 -1555.8883   608%  27.6  715s
 10796161 8286195 -1555.8883   88  104  306.00000 -1555.8883   608%  27.6  720s
 10887402 8351150 -1457.7519  117   61  306.00000 -1555.8883   608%  27.6  725s
 10974912 8415188 -1555.8883  117   80  306.00000 -1555.8883   608%  27.6  730s
 11069798 8483567 -1094.7613  135   57  306.00000 -1555.8883   608%  27.5  735s
 11160431 8553292 -1555.8883  120  117  306.00000 -1555.8883   608%  27.5  740s
 11257071 8623812 -1555.8883  106   97  306.00000 -1555.8883   608%  27.5  745s
 11346367 8689728 -1555.8883  113  108  306.00000 -1555.8883   608%  27.5  750s
 11435066 8756795 -1555.8883   87  113  306.00000 -1555.8883   608%  27.5  755s
 11525068 8824134 -1555.8883  139   66  306.00000 -1555.8883   608%  27.5  760s
 11610442 8886211 -1555.8883  103  115  306.00000 -1555.8883   608%  27.4  765s
 11699645 8953583 -1555.8883  109  122  306.00000 -1555.8883   608%  27.4  770s
 11792393 9022761 -1555.8883  132   78  306.00000 -1555.8883   608%  27.4  775s
 11880527 9087481 -1555.8883  129   69  306.00000 -1555.8883   608%  27.4  780s
 11968734 9150860 -1555.8883  111   89  306.00000 -1555.8883   608%  27.4  785s
 12029864 9193284 -1555.8883  105   91  306.00000 -1555.8883   608%  27.3  790s
 12107784 9250851 -1555.8883  109  113  306.00000 -1555.8883   608%  27.3  796s
 12168843 9298640 -1555.8883  101   85  306.00000 -1555.8883   608%  27.3  800s
 12262238 9367964 -1555.8883  130   71  306.00000 -1555.8883   608%  27.3  805s
 12357847 9435177 -1555.8883  133   65  306.00000 -1555.8883   608%  27.3  810s
 12448366 9502308 -1555.8883  109  122  306.00000 -1555.8883   608%  27.2  815s
 12539423 9568564 -1527.1591  126   66  306.00000 -1555.8883   608%  27.2  820s
 12632013 9634523 -1476.8956  111   72  306.00000 -1555.8883   608%  27.2  825s
 12729918 9707509 -1555.8883  117   99  306.00000 -1555.8883   608%  27.2  830s
 12824429 9778151 -1555.8883  102  101  306.00000 -1555.8883   608%  27.2  835s
 12917590 9846952 -1555.8883   99  124  306.00000 -1555.8883   608%  27.2  840s
 13010684 9913076 -1555.8883  122   76  306.00000 -1555.8883   608%  27.1  847s
 13061908 9953813 -185.95489  148   39  306.00000 -1555.8883   608%  27.1  850s
 13154191 10019726 -1555.8883  114   86  306.00000 -1555.8883   608%  27.1  855s
 13248952 10088511 -850.73057  129   61  306.00000 -1555.8883   608%  27.1  860s
 13341960 10156316 -1555.8883  116   85  306.00000 -1555.8883   608%  27.1  865s
 13434612 10226998 -779.51806  125   45  306.00000 -1555.8883   608%  27.1  870s
 13526070 10292164 -1555.8883  112  104  306.00000 -1555.8883   608%  27.0  875s
