
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 20:35:12 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random16.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 256 columns and 0 nonzeros
Model fingerprint: 0x728dffb8
Model has 7936 quadratic objective terms
Variable types: 0 continuous, 256 integer (256 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3296.0000000
Found heuristic solution: objective 721.0000000
Found heuristic solution: objective 532.0000000
Found heuristic solution: objective 434.0000000
Found heuristic solution: objective 414.0000000
Presolve time: 0.04s
Presolved: 0 rows, 256 columns, 0 nonzeros
Presolved model has 7936 quadratic objective terms
Variable types: 0 continuous, 256 integer (256 binary)

Root relaxation: objective -3.374220e+03, 255 iterations, 0.03 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 629328 553426 -2965.5573  124  150  304.00000 -2965.5573  1076%  53.5  295s
 640619 563667 -2965.5573   89  174  304.00000 -2965.5573  1076%  53.9  300s
 660378 579569 -2965.5573   75  255  304.00000 -2965.5573  1076%  53.6  305s
 671243 590200 -2965.5573  100  179  304.00000 -2965.5573  1076%  54.0  311s
 683374 600276 -2965.5573  107  252  304.00000 -2965.5573  1076%  53.9  315s
 695653 612202 -2965.5573   84  280  304.00000 -2965.5573  1076%  53.8  320s
 709186 623283 -2965.5573  143  169  304.00000 -2965.5573  1076%  53.9  326s
 723263 637736 -2965.5573   93  218  304.00000 -2965.5573  1076%  54.0  331s
 738999 650254 -2965.5573   60  224  304.00000 -2965.5573  1076%  53.6  335s
 753563 660108 -2965.5573  106  254  304.00000 -2965.5573  1076%  53.3  340s
 765737 676199 -2965.5573   98  204  304.00000 -2965.5573  1076%  53.7  346s
 779826 686889 -2965.5573   71  273  304.00000 -2965.5573  1076%  53.5  350s
 794278 697951 -2965.5573   69  249  304.00000 -2965.5573  1076%  53.3  355s
 806580 708042 -2965.5573   96  179  304.00000 -2965.5573  1076%  53.2  360s
 820447 720450 -2965.5573   84  220  304.00000 -2965.5573  1076%  52.9  365s
 836960 736001 -2299.0095  179   76  304.00000 -2965.5573  1076%  52.6  370s
 854206 750623 -2965.5573  124  181  304.00000 -2965.5573  1076%  52.3  375s
 865749 762069 -2965.5573   69  246  304.00000 -2965.5573  1076%  52.2  380s
 881439 775649 -2965.5573   95  221  304.00000 -2965.5573  1076%  52.1  385s
 902409 792027 -2965.5573   61  299  304.00000 -2965.5573  1076%  51.8  391s
 911679 801307 -2965.5573   74  253  304.00000 -2965.5573  1076%  51.6  395s
 928826 815954 -2965.5573   50  227  304.00000 -2965.5573  1076%  51.3  400s
 946933 833534 -2772.8503  196   82  304.00000 -2965.5573  1076%  51.0  405s
 966043 850193 -2965.5573  119  185  304.00000 -2965.5573  1076%  50.8  411s
 981783 862114 -2965.5573   80  264  304.00000 -2965.5573  1076%  50.6  415s
 992308 871692 -2965.5573   70  213  304.00000 -2965.5573  1076%  50.7  420s
 1007940 885520 -2965.5573   79  158  304.00000 -2965.5573  1076%  50.6  425s
 1027878 903448 -2965.5573   83  260  304.00000 -2965.5573  1076%  50.3  430s
 1042858 916447 -2965.5573   54  263  304.00000 -2965.5573  1076%  50.2  435s
 1057581 928503 -2965.5573   55  279  304.00000 -2965.5573  1076%  50.1  440s
 1078089 943179 -2965.5573   81  237  304.00000 -2965.5573  1076%  50.0  446s
 1086911 953494 -2965.5573   85  236  304.00000 -2965.5573  1076%  50.0  450s
 1105313 968132 -2965.5573   78  238  304.00000 -2965.5573  1076%  49.7  455s
 1122505 983225 -2965.5573   88  206  304.00000 -2965.5573  1076%  49.6  460s
 1139961 999488 -2965.5573   57  279  304.00000 -2965.5573  1076%  49.4  465s
 1154774 1013449 -2965.5573   96  263  304.00000 -2965.5573  1076%  49.3  470s
 1171355 1027016 -2965.5573  104  201  304.00000 -2965.5573  1076%  49.1  475s
 1189040 1042986 -1716.0353  159   77  304.00000 -2965.5573  1076%  49.1  480s
 1210154 1059933 -2965.5573   99  208  304.00000 -2965.5573  1076%  48.8  485s
 1227500 1076380 -2965.5573   70  222  304.00000 -2965.5573  1076%  48.7  491s
 1240340 1088009 -2965.5573   84  255  304.00000 -2965.5573  1076%  48.6  495s
 1261406 1106619 -2965.5573   94  242  304.00000 -2965.5573  1076%  48.4  501s
