
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 22:35:56 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random17.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 289 columns and 0 nonzeros
Model fingerprint: 0xa212863b
Model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3672.0000000
Found heuristic solution: objective 840.0000000
Found heuristic solution: objective 545.0000000
Presolve time: 0.05s
Presolved: 0 rows, 289 columns, 0 nonzeros
Presolved model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)

Root relaxation: objective -3.172816e+03, 290 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 1468778 1302296 -2919.7918  127  194  402.00000 -2919.7918   826%  43.4  275s
 1501196 1330782 -2919.7918  127  248  402.00000 -2919.7918   826%  43.2  280s
 1536974 1362838 -2919.7918  169  154  402.00000 -2919.7918   826%  43.0  285s
 1571607 1391917 -2919.7918   65  249  402.00000 -2919.7918   826%  42.8  290s
 1597203 1416761 -2666.4422  237   82  402.00000 -2919.7918   826%  42.8  295s
 1636334 1452224 -2919.7918  102  249  402.00000 -2919.7918   826%  42.6  300s
 1668391 1480224 -128.73300  223   30  402.00000 -2919.7918   826%  42.5  305s
 1706571 1513443 -2919.7918   96  252  402.00000 -2919.7918   826%  42.3  310s
 1746586 1548783 -2919.7918  131  165  402.00000 -2919.7918   826%  42.2  315s
 1779574 1575975 -2919.7918   71  295  402.00000 -2919.7918   826%  42.1  320s
 1812287 1606636 -2919.7918   56  266  402.00000 -2919.7918   826%  42.2  325s
 1850992 1641033 -2919.7918   64  259  402.00000 -2919.7918   826%  42.0  330s
 1888527 1674939 -2919.7918   91  291  402.00000 -2919.7918   826%  41.9  335s
 1925693 1707407 -2919.7918   79  277  402.00000 -2919.7918   826%  41.8  340s
 1963663 1740950 -2919.7918   75  287  402.00000 -2919.7918   826%  41.6  345s
 1993464 1765035 -2919.7918   85  219  402.00000 -2919.7918   826%  41.7  350s
 2019049 1791045 -2919.7918   62  246  402.00000 -2919.7918   826%  42.0  355s
 2059061 1824842 -2452.0845  223   83  402.00000 -2919.7918   826%  41.9  360s
 2093530 1856475 -2919.7918   79  260  402.00000 -2919.7918   826%  41.7  365s
 2135336 1894597 -2919.7918   59  270  402.00000 -2919.7918   826%  41.6  370s
 2171767 1927685 -2919.7918   83  280  402.00000 -2919.7918   826%  41.5  375s
 2205862 1956144 -2919.7918   91  247  402.00000 -2919.7918   826%  41.5  380s
 2231060 1980900 -2919.7918   67  267  402.00000 -2919.7918   826%  41.7  385s
 2262480 2007826 -2919.7918   77  242  402.00000 -2919.7918   826%  41.8  390s
 2294853 2036629 -2919.7918   62  277  402.00000 -2919.7918   826%  41.8  395s
 2326016 2063163 -2919.7918   65  266  402.00000 -2919.7918   826%  41.8  400s
 2363410 2094723 -2919.7918   61  306  402.00000 -2919.7918   826%  41.7  405s
 2399719 2126736 -2919.7918  118  252  402.00000 -2919.7918   826%  41.6  410s
 2440616 2163973 -2919.7918   81  248  402.00000 -2919.7918   826%  41.5  415s
 2477260 2195202 -2919.7918  150  170  402.00000 -2919.7918   826%  41.4  420s
 2517314 2232300 -1142.3988  218   38  402.00000 -2919.7918   826%  41.3  425s
 2552078 2261676 -2919.7918   82  242  402.00000 -2919.7918   826%  41.2  430s
 2585236 2290369 -2919.7918   72  264  402.00000 -2919.7918   826%  41.2  435s
 2617496 2322123 -808.73106  241   49  402.00000 -2919.7918   826%  41.2  440s
 2658900 2358097 -2919.7918   77  185  402.00000 -2919.7918   826%  41.0  445s
